acd_name,correct_openalex_id,note
Dr Sue Yin  Ng,A5110236829,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Timothy Gilbert Elliott,A5010913402,"Smart re-resolution. works=3, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Christopher John Tyson,A5083400870,"Smart re-resolution. works=1, h=0, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Philip Tong,A5058283254,"Smart re-resolution. works=40, h=12, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Benjamin Charles Thompson,A5017975902,"Smart re-resolution. works=38, h=10, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Edmund  Lobel,A5083673155,"Smart re-resolution. works=13, h=4, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Pooja  Sharma,A5102883825,"Smart re-resolution. works=153, h=15, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Nita Sally Agar,A5103341737,"Smart re-resolution. works=15, h=8, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Lauren Anderson,A5018436398,"Smart re-resolution. works=153, h=27, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Anne  O'Neill,A5071090270,"Smart re-resolution. works=90, h=26, au_nz=True, derm=True, cross_verified=False, score=85"
Dr Victoria Jane Mar,A5054196193,"Smart re-resolution. works=158, h=24, au_nz=True, derm=True, cross_verified=True, score=100"
Prof Dédée Murrell,A5015473226,"Smart re-resolution. works=7, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Abdul Basit Mirza,A5017616236,"Smart re-resolution. works=53, h=12, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Sue Yen Michelle Goh,A5010985671,"Smart re-resolution. works=79, h=19, au_nz=True, derm=True, cross_verified=True, score=70"
Dr Lisa Abbott,A5013223539,"Smart re-resolution. works=27, h=9, au_nz=True, derm=True, cross_verified=True, score=100"
Dr George Andrew Varigos,A5108082559,"Smart re-resolution. works=53, h=22, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Jesse James Johnston,A5091847142,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=False, score=85"
Dr Yit Nah  Lau,A5082786330,"Smart re-resolution. works=7, h=4, au_nz=False, derm=True, cross_verified=True, score=77"
Dr Boon Tiong Tan,A5017865826,"Smart re-resolution. works=7, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Duncan Graham Stanford,A5123953838,"Smart re-resolution. works=1, h=0, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Kavita  Enjeti,A5119124695,"Smart re-resolution. works=1, h=0, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Tevi Wain,A5003509511,"Smart re-resolution. works=5, h=4, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Alana Jane Tuxen,A5112171476,"Smart re-resolution. works=8, h=5, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Sarah Kym Morton,A5102900465,"Smart re-resolution. works=15, h=6, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Ian  McColl,A5029459611,"Smart re-resolution. works=203, h=30, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Simone Goldinger,A5008000580,"Smart re-resolution. works=177, h=41, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Pradeep  Kumar,A5100762164,"Smart re-resolution. works=416, h=49, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Yvonne Bao Ngoc Nguyen,A5113805189,"Smart re-resolution. works=2, h=0, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Su-Lin  Chan,A5086053373,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Quynh Van Le,A5078053983,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Carol Chiu Yen Oh Adib,A5086133541,"Smart re-resolution. works=1, h=0, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Raquel Mery Ruiz Araujo,A5033205470,"Smart re-resolution. works=1, h=1, au_nz=False, derm=False, cross_verified=False, score=40"
